timestamp,유효전력생산량(kWh)
2023-12-01 0:00,328.211
2023-12-01 0:10,332.05
2023-12-01 0:20,336.764
2023-12-01 0:30,332.091
2023-12-01 0:40,331.687
2023-12-01 0:50,335.57
2023-12-01 1:00,337.854
2023-12-01 1:10,340.299
2023-12-01 1:20,331.639
2023-12-01 1:30,345.469
2023-12-01 1:40,346.113
2023-12-01 1:50,340.345
2023-12-01 2:00,343.907
2023-12-01 2:10,344.905
2023-12-01 2:20,346.087
2023-12-01 2:30,348.939
2023-12-01 2:40,347.984
2023-12-01 2:50,349.8
2023-12-01 3:00,340.274
2023-12-01 3:10,340.365
2023-12-01 3:20,345.42
2023-12-01 3:30,341.059
2023-12-01 3:40,338.286
2023-12-01 3:50,341.302
2023-12-01 4:00,341.198
2023-12-01 4:10,342.231
2023-12-01 4:20,336.659
2023-12-01 4:30,341.414
2023-12-01 4:40,339.564
2023-12-01 4:50,340.148
2023-12-01 5:00,333.896
2023-12-01 5:10,334.279
2023-12-01 5:20,338.745
2023-12-01 5:30,338.76
2023-12-01 5:40,339.693
2023-12-01 5:50,331.44
2023-12-01 6:00,335.449
2023-12-01 6:10,338.909
2023-12-01 6:20,339.369
2023-12-01 6:30,340.947
2023-12-01 6:40,333.81
2023-12-01 6:50,347.471
2023-12-01 7:00,344.112
2023-12-01 7:10,340.268
2023-12-01 7:20,337.636
2023-12-01 7:30,338.992
2023-12-01 7:40,328.079
2023-12-01 7:50,318.353
2023-12-01 8:00,320.733
2023-12-01 8:10,327.045
2023-12-01 8:20,331.373
2023-12-01 8:30,327.56
2023-12-01 8:40,325.046
2023-12-01 8:50,313.977
2023-12-01 9:00,319.54
2023-12-01 9:10,327.34
2023-12-01 9:20,326.122
2023-12-01 9:30,311.705
2023-12-01 9:40,311.667
2023-12-01 9:50,301.883
2023-12-01 10:00,333.613
2023-12-01 10:10,318.929
2023-12-01 10:20,318.005
2023-12-01 10:30,290.463
2023-12-01 10:40,309.952
2023-12-01 10:50,324.401
2023-12-01 11:00,328.928
2023-12-01 11:10,327.08
2023-12-01 11:20,342.069
2023-12-01 11:30,343.626
2023-12-01 11:40,343.305
2023-12-01 11:50,343.446
2023-12-01 12:00,337.986
2023-12-01 12:10,329.008
2023-12-01 12:20,330.049
2023-12-01 12:30,327.86
2023-12-01 12:40,325.201
2023-12-01 12:50,308.471
2023-12-01 13:00,336.656
2023-12-01 13:10,338.898
2023-12-01 13:20,335.845
2023-12-01 13:30,332.352
2023-12-01 13:40,299.604
2023-12-01 13:50,316.259
2023-12-01 14:00,320.757
2023-12-01 14:10,344.564
2023-12-01 14:20,340.834
2023-12-01 14:30,331.859
2023-12-01 14:40,341.539
2023-12-01 14:50,346.883
2023-12-01 15:00,346.705
2023-12-01 15:10,346.588
2023-12-01 15:20,343.903
2023-12-01 15:30,334.089
2023-12-01 15:40,319.318
2023-12-01 15:50,328.971
2023-12-01 16:00,323.872
2023-12-01 16:10,309.869
2023-12-01 16:20,309.951
2023-12-01 16:30,320.339
2023-12-01 16:40,301.779
2023-12-01 16:50,185.333
2023-12-01 17:00,244.701
2023-12-01 17:10,222.256
2023-12-01 17:20,247.143
2023-12-01 17:30,292.461
2023-12-01 17:40,301.958
2023-12-01 17:50,330.161
2023-12-01 18:00,328.591
2023-12-01 18:10,331.564
2023-12-01 18:20,329.88
2023-12-01 18:30,341.375
2023-12-01 18:40,340.984
2023-12-01 18:50,339.742
2023-12-01 19:00,329.951
2023-12-01 19:10,330.797
2023-12-01 19:20,339.098
2023-12-01 19:30,341.182
2023-12-01 19:40,336.599
2023-12-01 19:50,315.756
2023-12-01 20:00,297.832
2023-12-01 20:10,314.829
2023-12-01 20:20,319.624
2023-12-01 20:30,303.925
2023-12-01 20:40,304.264
2023-12-01 20:50,308.623
2023-12-01 21:00,303.228
2023-12-01 21:10,319.832
2023-12-01 21:20,341.495
2023-12-01 21:30,338.472
2023-12-01 21:40,335.655
2023-12-01 21:50,335.126
2023-12-01 22:00,337.064
2023-12-01 22:10,337.745
2023-12-01 22:20,334.24
2023-12-01 22:30,318.703
2023-12-01 22:40,302.266
2023-12-01 22:50,317.229
2023-12-01 23:00,317.689
2023-12-01 23:10,305.568
2023-12-01 23:20,313.452
2023-12-01 23:30,306.469
2023-12-01 23:40,314.582
2023-12-01 23:50,315.522
2023-12-02 0:00,308.48
2023-12-02 0:10,320.497
2023-12-02 0:20,320.065
2023-12-02 0:30,307.547
2023-12-02 0:40,316.365
2023-12-02 0:50,325.276
2023-12-02 1:00,327.71
2023-12-02 1:10,326.659
2023-12-02 1:20,311.089
2023-12-02 1:30,325.548
2023-12-02 1:40,325.957
2023-12-02 1:50,317.463
2023-12-02 2:00,324.514
2023-12-02 2:10,326.461
2023-12-02 2:20,326.345
2023-12-02 2:30,334.674
2023-12-02 2:40,334.9
2023-12-02 2:50,338.204
2023-12-02 3:00,342.42
2023-12-02 3:10,341.877
2023-12-02 3:20,338.814
2023-12-02 3:30,333.331
2023-12-02 3:40,336.664
2023-12-02 3:50,333.288
2023-12-02 4:00,333.407
2023-12-02 4:10,337.092
2023-12-02 4:20,337.238
2023-12-02 4:30,338.435
2023-12-02 4:40,328.325
2023-12-02 4:50,331.351
2023-12-02 5:00,337.911
2023-12-02 5:10,338.263
2023-12-02 5:20,339.191
2023-12-02 5:30,336.962
2023-12-02 5:40,336.996
2023-12-02 5:50,333.12
2023-12-02 6:00,335.465
2023-12-02 6:10,334.251
2023-12-02 6:20,337.121
2023-12-02 6:30,332.066
2023-12-02 6:40,334.631
2023-12-02 6:50,330.861
2023-12-02 7:00,332.827
2023-12-02 7:10,341.101
2023-12-02 7:20,342.504
2023-12-02 7:30,333.186
2023-12-02 7:40,320.985
2023-12-02 7:50,308.689
2023-12-02 8:00,314.672
2023-12-02 8:10,316.836
2023-12-02 8:20,309.289
2023-12-02 8:30,304.681
2023-12-02 8:40,303.026
2023-12-02 8:50,293.028
2023-12-02 9:00,290.928
2023-12-02 9:10,245.569
2023-12-02 9:20,267.287
2023-12-02 9:30,267.517
2023-12-02 9:40,308.197
2023-12-02 9:50,291.363
2023-12-02 10:00,291.905
2023-12-02 10:10,309.168
2023-12-02 10:20,305.168
2023-12-02 10:30,311.35
2023-12-02 10:40,297.725
2023-12-02 10:50,282.208
2023-12-02 11:00,248.569
2023-12-02 11:10,297.215
2023-12-02 11:20,250.144
2023-12-02 11:30,273.539
2023-12-02 11:40,173.943
2023-12-02 11:50,197.003
2023-12-02 12:00,220.777
2023-12-02 12:10,185.197
2023-12-02 12:20,210.25
2023-12-02 12:30,166.752
2023-12-02 12:40,224.269
2023-12-02 12:50,206.023
2023-12-02 13:00,155.768
2023-12-02 13:10,171.48
2023-12-02 13:20,168.343
2023-12-02 13:30,101.818
2023-12-02 13:40,39.834
2023-12-02 13:50,26.468
2023-12-02 14:00,40.889
2023-12-02 14:10,22.068
2023-12-02 14:20,21.969
2023-12-02 14:30,43.996
2023-12-02 14:40,50.423
2023-12-02 14:50,30.368
2023-12-02 15:00,28.955
2023-12-02 15:10,14.931
2023-12-02 15:20,17.735
2023-12-02 15:30,10.781
2023-12-02 15:40,9.336
2023-12-02 15:50,5.889
2023-12-02 16:00,5.698
2023-12-02 16:10,6.25
2023-12-02 16:20,8.09
2023-12-02 16:30,7.164
2023-12-02 16:40,7.524
2023-12-02 16:50,12.526
2023-12-02 17:00,10.483
2023-12-02 17:10,4.252
2023-12-02 17:20,14.602
2023-12-02 17:30,28.44
2023-12-02 17:40,66.374
2023-12-02 17:50,120.104
2023-12-02 18:00,113.719
2023-12-02 18:10,128.677
2023-12-02 18:20,109.962
2023-12-02 18:30,177.812
2023-12-02 18:40,171.097
2023-12-02 18:50,204.269
2023-12-02 19:00,201.315
2023-12-02 19:10,114.351
2023-12-02 19:20,103.689
2023-12-02 19:30,87.959
2023-12-02 19:40,128.378
2023-12-02 19:50,108.757
2023-12-02 20:00,83.821
2023-12-02 20:10,61.938
2023-12-02 20:20,53.247
2023-12-02 20:30,48.091
2023-12-02 20:40,68.418
2023-12-02 20:50,102.801
2023-12-02 21:00,47.765
2023-12-02 21:10,51.174
2023-12-02 21:20,44.58
2023-12-02 21:30,50.988
2023-12-02 21:40,23.314
2023-12-02 21:50,31.656
2023-12-02 22:00,33.441
2023-12-02 22:10,61.38
2023-12-02 22:20,41.903
2023-12-02 22:30,123.747
2023-12-02 22:40,90.726
2023-12-02 22:50,37.41
2023-12-02 23:00,37.925
2023-12-02 23:10,54.1
2023-12-02 23:20,51.255
2023-12-02 23:30,83.473
2023-12-02 23:40,173.203
2023-12-02 23:50,158.494
2023-12-03 0:00,135.78
2023-12-03 0:10,136.651
2023-12-03 0:20,187.843
2023-12-03 0:30,243.888
2023-12-03 0:40,254.136
2023-12-03 0:50,283.568
2023-12-03 1:00,299.278
