n30,n50,scenario,total_capacity_mw,construction_cost_eok,transmission_cost_eok,required_ess_mwh,required_ess_cost_eok,total_project_cost_eok
1,3,30MW 1개 + 50MW 3개,180,150000.0,91.56995073824672,266.7616406666667,533.5232813333334,150625.09323207158
2,2,30MW 2개 + 50MW 2개,160,140000.0,91.35424284779694,213.6322760814815,427.264552162963,140518.61879501076
0,3,30MW 0개 + 50MW 3개,150,120000.0,67.80957968870867,161.33493793333338,322.66987586666676,120390.47945555537
5,0,30MW 5개 + 50MW 0개,150,150000.0,114.5104391334147,213.6322760814815,427.264552162963,150541.77499129638
3,1,30MW 3개 + 50MW 1개,140,130000.0,91.29697551017732,161.3349379333334,322.66987586666676,130413.96685137684
1,2,30MW 1개 + 50MW 2개,130,110000.0,68.09962030749043,115.94246163703701,231.88492327407403,110299.98454358157
4,0,30MW 4개 + 50MW 0개,120,120000.0,91.18776623733731,115.94246163703704,231.88492327407408,120323.07268951142
2,1,30MW 2개 + 50MW 1개,110,100000.0,68.07794400040451,91.63998614814815,183.2799722962963,100251.3579162967
0,2,30MW 0개 + 50MW 2개,100,80000.0,45.35324065772279,68.48394844444445,136.9678968888889,80182.32113754662
3,0,30MW 3개 + 50MW 0개,90,90000.0,68.14899327135197,68.48394844444444,136.96789688888887,90205.11689016024
1,1,30MW 1개 + 50MW 1개,80,70000.0,45.34582386203555,52.79981,105.59962,70150.94544386203
2,0,30MW 2개 + 50MW 0개,60,60000.0,45.41687313298301,37.244254444444444,74.48850888888889,60119.905382021876
0,1,30MW 0개 + 50MW 1개,50,40000.0,22.290218749071787,22.124881688888888,44.249763377777775,40066.539982126844
1,0,30MW 1개 + 50MW 0개,30,30000.0,22.469253264978764,8.21674268888889,16.43348537777778,30038.902738642755
